isolate_id,run_accession,TCG15,IPM10,AK30,CPD10,ATM30,CN10,TZP36,CTX5
CIV13YE8,ERR16714705,S,S,S,R,R,R,S,S
CIT15GS1,ERR16714692,R,S,S,R,R,R,R,R
CIT15EB1,ERR16714688,S,S,S,R,R,R,R,R
CIT15FH1,ERR16714690,S,S,S,S,S,S,S,S
CIT15FB1,ERR16714689,S,S,S,S,S,S,S,S
CIU149H1,ERR16714695,S,S,S,S,S,S,S,S
CIV13XE2,ERR16714700,S,S,S,S,S,S,S,S
CIV13YE6,ERR16714704,R,S,S,R,R,R,S,R
CIV143E9,ERR16714715,R,S,S,R,R,R,S,R
CIV143U1,ERR16714716,S,S,S,R,R,R,R,R
CIV143E2,ERR16714713,S,S,S,R,R,S,S,R
CIV143E4,ERR16714714,S,S,S,R,S,S,S,R
CIV144E6,ERR16714717,S,S,S,R,R,S,R,R
CIV144U1,ERR16714718,R,S,S,R,R,R,R,R
CIV146E8,ERR16714719,S,S,S,R,R,R,S,R
CIV142E6,ERR16714712,R,S,S,R,R,R,R,R
CIV140E6,ERR16714708,S,S,S,R,R,R,S,S
CIV140E7,ERR16714709,R,S,S,R,R,R,S,S
CIV141E6,ERR16714711,S,S,S,R,R,R,R,R
