isolate_id,group,Ethanol,Sodium dichloroisocyanurate,Glutaraldehyde,Sodium hypochlorite,Hydrogen peroxide
DFH10L,Comparator,8.7499999999999994E-2,0.01,6.2500000000000001E-4,,625ppm
DFF12DB1,Comparator,8.7499999999999994E-2,0.01,3.1250000000000001E-4,,625ppm
DFF12VB2,Comparator,8.7499999999999994E-2,0.01,6.2500000000000001E-4,,625ppm
DFF122B3,Comparator,0.17499999999999999,0.01,3.1250000000000001E-4,,625ppm
DFF11PG1,Comparator,8.7499999999999994E-2,0.01,6.2500000000000001E-4,,625ppm
DFF11KB2,Comparator,8.7499999999999994E-2,0.01,6.2500000000000001E-4,,625ppm
DFF131G1,Comparator,0.17499999999999999,0.01,6.2500000000000001E-4,,625ppm
DFF12YF3,Comparator,8.7499999999999994E-2,0.01,6.2500000000000001E-4,,625ppm
DFH104M2,Comparator,8.7499999999999994E-2,0.01,3.1250000000000001E-4,,625ppm
DFH102M1,Comparator,0.17499999999999999,5.0000000000000001E-3,6.2500000000000001E-4,,625ppm
DFF11FB1,Comparator,0.17499999999999999,0.01,6.2500000000000001E-4,,625ppm
DFH105M1,Comparator,8.7499999999999994E-2,0.01,6.2500000000000001E-4,,625ppm
DFF121B3,Comparator,8.7499999999999994E-2,5.0000000000000001E-3,3.1250000000000001E-4,,625ppm
DFH104M1,Comparator,8.7499999999999994E-2,0.01,3.1250000000000001E-4,,625ppm
DFF10NB3,Comparator,8.7499999999999994E-2,0.01,6.2500000000000001E-4,,625ppm
DFF10NB2,Comparator,8.7499999999999994E-2,0.01,6.2500000000000001E-4,,625ppm
DFF10YG3,Comparator,8.7499999999999994E-2,0.01,6.2500000000000001E-4,,625ppm
DFH10MM1,Comparator,0.17499999999999999,0.01,6.2500000000000001E-4,,625ppm
DFH10RM1,Comparator,8.7499999999999994E-2,0.01,6.2500000000000001E-4,,625ppm
DFH10QM1,Comparator,8.7499999999999994E-2,2.5000000000000001E-3,6.2500000000000001E-4,,625ppm
DFF10IG2,Comparator,8.7499999999999994E-2,0.01,3.1250000000000001E-4,,625ppm
DFH10SM1,Comparator,8.7499999999999994E-2,0.01,6.2500000000000001E-4,,625ppm
DFF10IG1,Comparator,8.7499999999999994E-2,0.01,6.2500000000000001E-4,,625ppm
